operation,file_size(KB),record_size(KB),num_threads,memory_size,time(ms),throughput(KB/ms)
read,256,128,4,4,0.038000,3368.421053
read,256,128,4,4,0.021000,6095.238095
write,1024,32,4,4,0.116000,275.862069
write,1024,32,4,4,0.060000,533.333333
write,1024,32,4,4,0.055000,581.818182
write,1024,32,4,4,0.056000,571.428571
write,1024,32,4,4,0.054000,592.592593
write,1024,32,4,4,0.058000,551.724138
write,1024,32,4,4,0.055000,581.818182
write,1024,32,4,4,0.055000,581.818182
write,1024,32,4,4,0.058000,551.724138
write,1024,32,4,4,0.058000,551.724138
write,1024,32,4,4,0.055000,581.818182
write,1024,32,4,4,0.057000,561.403509
write,1024,32,4,4,0.055000,581.818182
write,1024,32,4,4,0.057000,561.403509
write,1024,32,4,4,0.056000,571.428571
write,1024,32,4,4,0.055000,581.818182
write,1024,32,4,4,0.055000,581.818182
write,1024,32,4,4,0.070000,457.142857
write,1024,32,4,4,0.080000,400.000000
write,1024,32,4,4,0.074000,432.432432
write,1024,32,4,4,0.072000,444.444444
write,1024,32,4,4,0.058000,551.724138
write,1024,32,4,4,0.074000,432.432432
write,1024,32,4,4,0.066000,484.848485
write,1024,32,4,4,0.064000,500.000000
write,1024,32,4,4,0.065000,492.307692
write,1024,32,4,4,0.069000,463.768116
write,1024,32,4,4,0.066000,484.848485
write,1024,32,4,4,0.076000,421.052632
write,1024,32,4,4,0.077000,415.584416
write,1024,32,4,4,0.075000,426.666667
write,1024,32,4,4,0.065000,492.307692
read,1024,32,4,4,0.043000,744.186047
read,1024,32,4,4,0.007000,4571.428571
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.007000,4571.428571
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.005000,6400.000000
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.007000,4571.428571
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.019000,1684.210526
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
