file_size(KB),record_size(KB),num_threads,memory_size,throughput(KB/ms)
256,32,4,32,4453514.52184142
256,32,4,64,9658232.107053937
256,32,4,128,4704253.735982747
256,32,8,1,5256995.915829295
256,32,8,2,6081174.949072258
256,32,8,4,4559065.993840664
256,32,8,8,7580443.976593231
256,32,8,16,2862689.58405538
256,32,8,32,5019298.1087444415
256,32,8,64,5018491.233884042
256,32,8,128,4184460.6738716024
256,32,16,1,5016652.297596841
256,32,16,2,5403200.904743699
256,32,16,4,4554770.360274116
256,32,16,8,7662956.389728715
256,32,16,16,5308729.90450499
256,32,16,32,4546121.029862475
256,32,16,64,4125784.545181511
256,32,16,128,4838572.24016806
256,32,32,1,4504601.027254624
256,32,32,2,4749393.612656338
256,32,32,4,7645746.863013197
256,32,32,8,4472118.595694012
256,32,32,16,4334488.6677214345
256,32,32,32,4118485.1777968225
256,32,32,64,4662162.0716332365
256,32,32,128,4043182.721550523
256,32,64,1,7687896.604042868
256,32,64,2,4721497.406090111
256,32,64,4,4294417.719157971
256,32,64,8,7925845.820271175
256,32,64,16,5712376.375052178
256,32,64,32,4103269.7586649656
256,32,64,64,4322207.969434373
256,32,64,128,4181015.5144990706
256,32,128,1,4324304.067550841
256,32,128,2,4498620.135583491
256,32,128,4,4167935.950855215
256,32,128,8,4622437.185286088
256,32,128,16,4169635.486114995
256,32,128,32,2951385.869383408
256,32,128,64,3896905.8161118585
256,32,128,128,4387538.653960582
256,128,1,1,7557009.088061755
256,128,1,2,6657497.7873475095
256,128,1,4,9464715.324758338
256,128,1,8,9435501.991785727
256,128,1,16,7622826.024445471
256,128,1,32,10872853.753424145
256,128,1,64,10798869.461419178
256,128,1,128,10761079.8965846
256,128,2,1,9797126.902674595
256,128,2,2,6004384.056663208
256,128,2,4,8544636.159184063
256,128,2,8,9643325.6605374
256,128,2,16,10932497.64572668
256,128,2,32,11175283.881952127
256,128,2,64,12200410.698812947
256,128,2,128,9508183.864718372
256,128,4,1,6870530.546551212
256,128,4,2,11157494.590571979
256,128,4,4,6369778.020731601
256,128,4,8,9688661.675798051
256,128,4,16,9449284.27045136
256,128,4,32,5378447.602652433
256,128,4,64,12849722.562251002
256,128,4,128,5769739.561395084
256,128,8,1,5662008.902128208
256,128,8,2,8733394.777444357
256,128,8,4,5634121.849928419
256,128,8,8,4191417.935400015
256,128,8,16,9693367.289408846
256,128,8,32,6937999.366543016
256,128,8,64,7881139.492077549
256,128,8,128,5651472.726917066
256,128,16,1,6961333.010137322
256,128,16,2,8457042.758379336
256,128,16,4,5634283.878737706
256,128,16,8,9670023.336620294
256,128,16,16,6817834.613999673
256,128,16,32,8753390.853591861
256,128,16,64,5702844.520718043
256,128,16,128,6271667.129280495
256,128,32,1,6286693.0733683435
256,128,32,2,5434225.347679099
256,128,32,4,7530511.826908645
256,128,32,8,5308510.622665648
256,128,32,16,5686421.88630271
256,128,32,32,5713376.696213367
256,128,32,64,5129548.0166835105
256,128,32,128,6232079.377132143
256,128,64,1,11145180.45980228
256,128,64,2,5342753.382964959
256,128,64,4,5240091.234892015
256,128,64,8,8620215.690709507
256,128,64,16,9638248.798413014
256,128,64,32,4844845.756063948
256,128,64,64,5727950.752775322
256,128,64,128,10955539.89292855
256,128,128,1,5703303.904929255
256,128,128,2,5744484.11307691
256,128,128,4,8377417.979417003
256,128,128,8,5649409.814989264
256,128,128,16,5712516.772091973
256,128,128,32,5679315.31132174
256,128,128,64,5107449.525725794
256,128,128,128,8297139.920426165
1024,32,1,1,8432577.979278592
1024,32,1,2,5781925.599633564
1024,32,1,4,7483429.668452117
1024,32,1,8,7279276.564424473
1024,32,1,16,7633339.362513236
1024,32,1,32,10184138.115731655
1024,32,1,64,9442085.198057268
1024,32,1,128,7104089.563845506
1024,32,2,1,9111476.402021606
1024,32,2,2,8499885.440131897
1024,32,2,4,7836217.364198013
1024,32,2,8,7646687.615724858
1024,32,2,16,8864310.619625391
1024,32,2,32,9384924.03764347
1024,32,2,64,10724398.975147031
1024,32,2,128,7703138.470635688
1024,32,4,1,9396731.29260091
1024,32,4,2,8711573.52455358
1024,32,4,4,6007193.036118384
1024,32,4,8,8842254.628439767
1024,32,4,16,5497653.467088218
1024,32,4,32,4642033.413733991
1024,32,4,64,11339057.063771052
1024,32,4,128,5166798.196619341
1024,32,8,1,5297056.74906269
1024,32,8,2,9151675.160537228
1024,32,8,4,4635989.4466734845
1024,32,8,8,8491072.32922404
1024,32,8,16,6404115.979737824
1024,32,8,32,5051726.12382793
1024,32,8,64,5004038.888234651
1024,32,8,128,4912204.009976619
1024,32,16,1,5279916.908440831
1024,32,16,2,7124471.19637322
1024,32,16,4,5643753.618719657
1024,32,16,8,8400696.370902047
1024,32,16,16,5701523.791764392
1024,32,16,32,8575121.011056185
1024,32,16,64,4758457.804644265
1024,32,16,128,5836740.080748772
1024,32,32,1,5095166.890157031
1024,32,32,2,5826978.049061578
1024,32,32,4,8572284.243754037
1024,32,32,8,5263679.0538142
1024,32,32,16,4339359.66607342
1024,32,32,32,4704359.216152264
1024,32,32,64,4679689.663067885
1024,32,32,128,5122545.973492955
1024,32,64,1,8539920.793669824
1024,32,64,2,4389210.708036693
1024,32,64,4,4555849.4026049655
1024,32,64,8,8123869.704400827
1024,32,64,16,8358054.612713644
1024,32,64,32,4905674.401679081
1024,32,64,64,5151800.549408261
1024,32,64,128,8694199.73882819
1024,32,128,1,4949364.465639657
1024,32,128,2,4989209.271222232
1024,32,128,4,8200623.002499353
1024,32,128,8,5690984.545774055
1024,32,128,16,4763773.839630733
1024,32,128,32,4424457.274742992
1024,32,128,64,5217595.287027362
1024,32,128,128,8434752.684161479
1024,128,1,1,20824507.809660506
1024,128,1,2,18985746.091779213
1024,128,1,4,16669602.014119772
1024,128,1,8,19858233.26685148
1024,128,1,16,20329090.652701
1024,128,1,32,29881006.26843731
1024,128,1,64,29867587.909282457
1024,128,1,128,19614788.998830333
1024,128,2,1,23447937.23329023
1024,128,2,2,20561962.612916667
1024,128,2,4,25958861.731758084
1024,128,2,8,20834636.624822244
1024,128,2,16,23144493.4878406
1024,128,2,32,28765314.505062517
1024,128,2,64,33487948.758955423
1024,128,2,128,19956695.10018935
1024,128,4,1,24203996.460554346
1024,128,4,2,25790365.92603326
1024,128,4,4,17559613.109349336
1024,128,4,8,25360922.58765299
1024,128,4,16,25966613.537601408
1024,128,4,32,13227249.941165587
1024,128,4,64,33620434.223464936
1024,128,4,128,14905740.62417068
1024,128,8,1,15852525.3923492
1024,128,8,2,15470002.276721407
1024,128,8,4,13946842.941962134
1024,128,8,8,27485054.578301538
1024,128,8,16,19033691.925332505
1024,128,8,32,14313764.934697274
1024,128,8,64,15815023.607160212
1024,128,8,128,13170007.116657222
1024,128,16,1,15551944.928263921
1024,128,16,2,17579186.368013483
1024,128,16,4,16895663.862767115
1024,128,16,8,20389062.241875794
1024,128,16,16,20598637.955914818
1024,128,16,32,26065193.646292303
1024,128,16,64,16289276.372704128
1024,128,16,128,17120403.13938811
1024,128,32,1,14916332.761910697
1024,128,32,2,14851842.555479407
1024,128,32,4,27923685.348449484
1024,128,32,8,14674714.176087914
1024,128,32,16,11351223.848812765
1024,128,32,32,13463541.412423281
1024,128,32,64,13409951.165597897
1024,128,32,128,13855103.66404835
1024,128,64,1,22954163.30810418
1024,128,64,2,13506568.33164397
1024,128,64,4,13160879.704960044
1024,128,64,8,25193210.32453557
1024,128,64,16,21833180.442000065
1024,128,64,32,14456423.962364769
1024,128,64,64,14723754.589704888
1024,128,64,128,24715443.92196326
1024,128,128,1,13691321.806701597
1024,128,128,2,12958374.3699056
1024,128,128,4,21376850.937349174
1024,128,128,8,12365783.929380722
1024,128,128,16,14572674.658285815
1024,128,128,32,14434684.545488512
1024,128,128,64,13205015.087289752
1024,128,128,128,25519305.78904599
1024,512,1,1,27656079.623673934
1024,512,1,2,23845770.425569903
1024,512,1,4,23397447.21392462
1024,512,1,8,18456804.604044765
1024,512,1,16,24845936.332491517
1024,512,1,32,37841278.328824185
1024,512,1,64,42176141.42483139
1024,512,1,128,27001079.838410914
1024,512,2,1,23741462.360504147
1024,512,2,2,23381941.668316413
1024,512,2,4,35465376.96522037
1024,512,2,8,19682458.108651366
1024,512,2,16,24904406.710963685
1024,512,2,32,30796759.81863911
1024,512,2,64,47597128.016425066
1024,512,2,128,36531444.453178644
1024,512,4,1,26171928.993889567
1024,512,4,2,19281055.251579408
1024,512,4,4,22407993.323447485
1024,512,4,8,23771871.267452717
1024,512,4,16,33245661.03392936
1024,512,4,32,16063914.47007507
1024,512,4,64,44260499.88585417
1024,512,4,128,21447527.815411415
1024,512,8,1,18736864.53115935
1024,512,8,2,18979734.42439309
1024,512,8,4,17478038.140825734
1024,512,8,8,31078213.667241562
1024,512,8,16,16161880.3267433
1024,512,8,32,16069880.486997718
1024,512,8,64,20969412.55288315
1024,512,8,128,16855755.20976328
1024,512,16,1,17981473.799469773
1024,512,16,2,14940035.123961011
1024,512,16,4,16653040.92261532
1024,512,16,8,14249294.18809896
1024,512,16,16,32144515.398137618
1024,512,16,32,28485882.351355698
1024,512,16,64,16200857.803351745
1024,512,16,128,21005631.521375436
1024,512,32,1,17996693.833342288
1024,512,32,2,18410807.676887173
1024,512,32,4,26582481.714877117
1024,512,32,8,17507245.915093202
1024,512,32,16,12590359.108935622
1024,512,32,32,17748934.426298473
1024,512,32,64,17331955.638544723
1024,512,32,128,17713331.965223104
1024,512,64,1,33028328.562250953
1024,512,64,2,15299650.545533886
1024,512,64,4,15033052.34866944
1024,512,64,8,28533886.703323353
1024,512,64,16,27301574.703922123
1024,512,64,32,20897755.759984806
1024,512,64,64,19442636.312530678
1024,512,64,128,31732987.84238212
1024,512,128,1,17030854.612849057
1024,512,128,2,14817945.162783915
1024,512,128,4,26679228.504981313
1024,512,128,8,14400941.6352315
1024,512,128,16,12148618.039959406
1024,512,128,32,16947446.94396556
1024,512,128,64,19628491.249167528
1024,512,128,128,27030674.88772483
